Name,Ticker,"Sub-Sector","Market Cap"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","2109983.1330932803"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1526299.99583247"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1266129.6194909099"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1186732.705904"
ICICI Bank Ltd,ICICIBANK,"Private Banks","965182.5132192"
State Bank of India,SBIN,"Public Banks","891954.5773351801"
Infosys Ltd,INFY,"IT Services & Consulting","669987.92350256"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","621513.4963"
Larsen and Toubro Ltd,LT,"Construction & Engineering","556738.84632456"
Life Insurance Corporation Of India,LICI,"Insurance","537466.679642475"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","536975.5870174799"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","521782.5118104"
ITC Ltd,ITC,"FMCG - Tobacco","506357.90914496506"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","449358.20390001"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","434788.7677068"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","430480.7179299"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","412565.6480915"
Axis Bank Ltd,AXISBANK,"Private Banks","381354.99081258"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","354108.467792"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","346848.2800058"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","342621.75746358"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","322143.31844032"
NTPC Ltd,NTPC,"Power Generation","314268.94940294"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","295045.288218318"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","294876.273"
Bharat Electronics Ltd,BEL,"Electronic Equipments","291258.137441505"
Wipro Ltd,WIPRO,"IT Services & Consulting","278946.80235681"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","275952.14708763"
Adani Power Ltd,ADANIPOWER,"Power Generation","274209.07401039504"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","269089.440515"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","267312.3770592"
Asian Paints Ltd,ASIANPAINT,"Paints","263273.50729905"
Eternal Ltd,ETERNAL,"Online Services","256360.558368775"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","253318.8211959"
Coal India Ltd,COALINDIA,"Mining - Coal","247834.119670305"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","246884.52837535497"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","246458.64217432003"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","245397.2803632"
Vedanta Ltd,VEDL,"Metals - Diversified","234699.52769697"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","226363.45127949"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","211121.485421392"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","202481.37259058"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","200896.7611788"
Interglobe Aviation Ltd,INDIGO,"Airlines","196156.0694252"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","195104.28610904"
Grasim Industries Ltd,GRASIM,"Cement","191165.595496895"
Jio Financial Services Ltd,JIOFIN,"Consumer Finance","188656.540494985"
Hyundai Motor India Ltd,HYUNDAI,"Four Wheelers","188598.914721"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","180657.795748525"
LTIMindtree Ltd,LTIM,"IT Services & Consulting","178933.52273715"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","174647.514184"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","172590.34540667"
DLF Ltd,DLF,"Real Estate","172034.163567"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","170629.929795"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","167699.00434055"
Varun Beverages Ltd,VBL,"Soft Drinks","163299.32771116498"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","161446.35441752"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","158789.3008608"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","157960.47051959"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","152437.5803372"
Trent Ltd,TRENT,"Retail - Apparel","152337.04166233"
Tata Motors Ltd,TMCV,"Trucks & Buses","150478.47155764498"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","149038.65799878"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","148443.76870752"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","145303.799562"
Tata Capital Ltd,TATACAP,"Consumer Finance","143710.041247635"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","143303.1295758"
Punjab National Bank,PNB,"Public Banks","138340.55811691599"
Ambuja Cements Ltd,AMBUJACEM,"Cement","137099.68920726998"
Canara Bank Ltd,CANBK,"Public Banks","136123.26345882"
Tata Motors Passenger Vehicles Ltd,TMPV,"Four Wheelers","132122.04966324"
Vodafone Idea Ltd,IDEA,"Telecom Services","129361.58379119399"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","129171.0866304"
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","125903.94578732901"
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","124147.910405"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","123423.76136022"
Adani Energy Solutions Ltd,ADANIENSOL,"Power Infrastructure","121966.22664226001"
Cipla Ltd,CIPLA,"Pharmaceuticals","121650.4327788"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","121279.112506385"
Cummins India Ltd,CUMMINSIND,"Industrial Machinery","120482.208"
Power Finance Corporation Ltd,PFC,"Specialized Finance","117021.6084096"
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","116340.92839308"
Union Bank of India Ltd,UNIONBANK,"Public Banks","114672.023428354"
Polycab India Ltd,POLYCAB,"Electrical Components & Equipments","113754.39712245"
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","113381.82400223998"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","112786.0046844"
Solar Industries India Ltd,SOLARINDS,"Commodity Chemicals","112542.4814035"
Gail (India) Ltd,GAIL,"Gas Distribution","112447.01205458601"
Indus Towers Ltd,INDUSTOWER,"Telecom Infrastructure","110720.11750938001"
Siemens Ltd,SIEMENS,"Conglomerates","110429.40739545"
ABB India Ltd,ABB,"Heavy Electrical Equipments","109832.1107625"
IDBI Bank Ltd,IDBI,"Private Banks","108997.100847975"
GMR Airports Ltd,GMRAIRPORT,"Construction & Engineering","108176.70862824"
BSE Ltd,BSE,"Stock Exchanges & Ratings","107893.5254973"
Lodha Developers Ltd,LODHA,"Real Estate","107215.50580105"
Bosch Ltd,BOSCHLTD,"Auto Parts","105749.44622"
Dr Reddy's Laboratories Ltd,DRREDDY,"Pharmaceuticals","105673.2778749"
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines","105277.04750891999"
Indian Bank,INDIANB,"Public Banks","104854.411100945"
Max Healthcare Institute Ltd,MAXHEALTH,"Hospitals & Diagnostic Centres","104504.61170021999"
United Spirits Ltd,UNITDSPR,"Alcoholic Beverages","103894.79584251999"
LG Electronics India Ltd,LGEINDIA,"Home Electronics & Appliances","103322.73351024"
CG Power and Industrial Solutions Ltd,CGPOWER,"Heavy Electrical Equipments","103310.9871504"
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","102892.3005492"
Ashok Leyland Ltd,ASHOKLEY,"Trucks & Buses","102604.491314336"
Mazagon Dock Shipbuilders Ltd,MAZDOCK,"Shipbuilding","102514.9932"
Billionbrains Garage Ventures Ltd,GROWW,"Investment Banking & Brokerage","102006.337134013"
Swiggy Ltd,SWIGGY,"Online Services","101654.27574975"
Jindal Steel Ltd,JINDALSTEL,"Iron & Steel","100375.20076905"
Hindustan Petroleum Corp Ltd,HINDPETRO,"Oil & Gas - Refining & Marketing","99518.25912009"
Persistent Systems Ltd,PERSISTENT,"Software Services","98098.7774394"
Bharat Heavy Electricals Ltd,BHEL,"Heavy Electrical Equipments","98020.08344325"
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","97118.740875"
Lupin Ltd,LUPIN,"Pharmaceuticals","96494.17977944"
Marico Ltd,MARICO,"FMCG - Personal Products","96235.75795263001"
Shree Cement Ltd,SHREECEM,"Cement","95325.336216"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","94086.718258365"
REC Limited,RECLTD,"Specialized Finance","94032.42904"
Siemens Energy India Ltd,ENRIN,"Power Generation","93485.19376755"
SRF Ltd,SRF,"Diversified Chemicals","91939.123722"
Zydus Lifesciences Ltd,ZYDUSLIFE,"Pharmaceuticals","91723.25935845"
Bharti Hexacom Ltd,BHARTIHEXA,"Telecom Services","91400"
Aditya Birla Capital Ltd,ABCAPITAL,"Diversified Financials","91120.08570984"
Mankind Pharma Ltd,MANKIND,"Pharmaceuticals","90528.1522896"
Meesho Ltd,MEESHO,"Retail - Online","89287.783704"
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","88957.56533244"
Info Edge (India) Ltd,NAUKRI,"Online Services","88426.0105699"
PB Fintech Ltd,POLICYBZR,"Online Services","88105.14518795999"
Waaree Energies Ltd,WAAREEENER,"Renewable Energy Equipment & Services","87635.55452635"
Dabur India Ltd,DABUR,"FMCG - Personal Products","86591.55419704001"
One 97 Communications Ltd,PAYTM,"Online Services","84118.59834168"
JSW Energy Ltd,JSWENERGY,"Power Generation","83727.34384848"
SBI Cards and Payment Services Ltd,SBICARD,"Payment Infrastructure","82273.382004"
Hitachi Energy India Ltd,POWERINDIA,"Heavy Electrical Equipments","81790.286105"
Rail Vikas Nigam Ltd,RVNL,"Specialized Finance","80888.3547795"
Bajaj Housing Finance Ltd,BAJAJHFL,"Consumer Finance","79230.055723686"
NHPC Ltd,NHPC,"Renewable Energy","78712.89273198"
GE Vernova T&D India Ltd,GVT&D,"Heavy Electrical Equipments","78685.66067085"
Ntpc Green Energy Ltd,NTPCGREEN,"Renewable Energy","78348.013262362"
Lenskart Solutions Ltd,LENSKART,"Retail - Speciality","78251.319784635"
L&T Finance Ltd,LTF,"Consumer Finance","75360.5452649"
Dixon Technologies (India) Ltd,DIXON,"Home Electronics & Appliances","74813.3839704"
Fsn E-Commerce Ventures Ltd,NYKAA,"Wellness Services","74268.17884942"
UNO Minda Ltd,UNOMINDA,"Auto Parts","73366.3391526"
IDFC First Bank Ltd,IDFCFIRSTB,"Private Banks","73166.503346496"
Suzlon Energy Ltd,SUZLON,"Renewable Energy Equipment & Services","72949.59830788"
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","72822.142847115"
NMDC Ltd,NMDC,"Mining - Iron Ore","72629.20478055"
Aurobindo Pharma Ltd,AUROPHARMA,"Pharmaceuticals","70056.29176626"
Coromandel International Ltd,COROMANDEL,"Fertilizers & Agro Chemicals","69395.74618732"
Prestige Estates Projects Ltd,PRESTIGE,"Real Estate","69330.33814272"
Lloyds Metals and Energy Ltd,LLOYDSME,"Iron & Steel","69193.46706885"
Bharat Forge Ltd,BHARATFORG,"Iron & Steel","69026.43668816"
Fortis Healthcare Ltd,FORTIS,"Hospitals & Diagnostic Centres","68127.42327551999"
Oracle Financial Services Software Ltd,OFSS,"Software Services","67673.0439077"
Yes Bank Ltd,YESBANK,"Private Banks","67526.40963728"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","66209.77148042"
Alkem Laboratories Ltd,ALKEM,"Pharmaceuticals","66179.2275"
Phoenix Mills Ltd,PHOENIXLTD,"Real Estate","66169.9912824"
Oil India Ltd,OIL,"Oil & Gas - Exploration & Production","65511.628782525"
Torrent Power Ltd,TORNTPOWER,"Power Transmission & Distribution","65467.14830656"
Indian Overseas Bank,IOB,"Public Banks","65337.609174435"
UPL Ltd,UPL,"Fertilizers & Agro Chemicals","65334.447316155005"
Jindal Stainless Ltd,JSL,"Iron & Steel","65241.6844212"
General Insurance Corporation of India,GICRE,"Insurance","65140.872"
Federal Bank Ltd,FEDERALBNK,"Private Banks","64503.5658968"
MRF Ltd,MRF,"Tires & Rubber","63704.0884315"
Vishal Mega Mart Ltd,VMM,"FMCG - Foods","63674.33623455601"
Bank of India Ltd,BANKINDIA,"Public Banks","63632.638763081995"
Berger Paints India Ltd,BERGEPAINT,"Paints","63197.32649569499"
HDB Financial Services Ltd,HDBFS,"Consumer Finance","62789.84421024"
Adani Total Gas Ltd,ATGL,"Gas Distribution","62667.17852934"
Abbott India Ltd,ABBOTINDIA,"Pharmaceuticals","61421.107431"
Oberoi Realty Ltd,OBEROIRLTY,"Real Estate","61106.99195021999"
Godrej Properties Ltd,GODREJPROP,"Real Estate","60319.58244944"
Patanjali Foods Ltd,PATANJALI,"Packaged Foods & Meats","59455.252730475"
Schaeffler India Ltd,SCHAEFFLER,"Auto Parts","59454.7899946"
JSW Infrastructure Ltd,JSWINFRA,"Ports","59174.146533069994"
Laurus Labs Ltd,LAURUSLABS,"Pharmaceuticals","58574.439147"
Max Financial Services Ltd,MFSL,"Insurance","57703.1897112"
Fertilisers And Chemicals Travancore Ltd,FACT,"Fertilizers & Agro Chemicals","57502.05096951"
Colgate-Palmolive (India) Ltd,COLPAL,"FMCG - Personal Products","56774.281241159995"
Sundaram Finance Ltd,SUNDARMFIN,"Consumer Finance","56740.07233375"
Glenmark Pharmaceuticals Ltd,GLENMARK,"Pharmaceuticals","56739.294657540006"
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,"Online Services","56440"
Multi Commodity Exchange of India Ltd,MCX,"Stock Exchanges & Ratings","56363.3974188"
National Aluminium Co Ltd,NATIONALUM,"Metals - Aluminium","56357.046384094996"
Coforge Ltd,COFORGE,"IT Services & Consulting","56062.54573264"
Knowledge Realty Trust,KRT,"Real Estate","55367.912668926"
Nippon Life India Asset Management Ltd,NAM-INDIA,"Asset Management","55245.41110125"
CPSE ETF,CPSEETF,"Equity","54969.5708273"
Mahindra and Mahindra Financial Services Ltd,M&MFIN,"Consumer Finance","54762.89174991"
Steel Authority of India Ltd,SAIL,"Iron & Steel","54655.110624048"
Mphasis Ltd,MPHASIS,"IT Services & Consulting","54319.70892618"
Bharat Dynamics Ltd,BDL,"Aerospace & Defense Equipments","54174.271875"
Biocon Ltd,BIOCON,"Biotechnology","52795.58018273"
APL Apollo Tubes Ltd,APLAPOLLO,"Building Products - Pipes","52364.93086386"
Motilal Oswal Financial Services Ltd,MOTILALOFS,"Diversified Financials","51898.66163399"
Linde India Ltd,LINDEINDIA,"Commodity Chemicals","50795.2832188"
Kalyan Jewellers India Ltd,KALYANKJIL,"Precious Metals, Jewellery & Watches","50719.22664413"
Tata Communications Ltd,TATACOMM,"Telecom Services","50661.6"
Tube Investments of India Ltd,TIINDIA,"Cycles","50327.781708"
PI Industries Ltd,PIIND,"Diversified Chemicals","49077.511613790004"
Authum Investment & Infrastructure Ltd,AIIL,"Specialized Finance","48971.437683"
L&T Technology Services Ltd,LTTS,"Software Services","47889.153551940006"
360 One Wam Ltd,360ONE,"Investment Banking & Brokerage","47797.5868481"
Altius Telecom Infrastructure Trust,ALTIUSINVIT,"Telecom Infrastructure","46643.5044"
Hindustan Copper Ltd,HINDCOPPER,"Mining - Copper","45991.6623912"
Hexaware Technologies Ltd,HEXT,"IT Services & Consulting","45895.0605432"
Voltas Ltd,VOLTAS,"Home Electronics & Appliances","45698.4914414"
Housing and Urban Development Corporation Ltd,HUDCO,"Specialized Finance","44368.1097"
Balkrishna Industries Ltd,BALKRISIND,"Tires & Rubber","44335.3643546"
Radico Khaitan Ltd,RADICO,"Alcoholic Beverages","44255.81491917"
Godfrey Phillips India Ltd,GODFRYPHLP,"FMCG - Tobacco","44071.0864704"
J K Cement Ltd,JKCEMENT,"Cement","43930.86410605"
Bank of Maharashtra Ltd,MAHABANK,"Public Banks","43834.17166005"
Cochin Shipyard Ltd,COCHINSHIP,"Shipbuilding","43463.5756638"
United Breweries Ltd,UBL,"Alcoholic Beverages","42936.75214611"
Petronet LNG Ltd,PETRONET,"Oil & Gas - Storage & Transportation","42255.00247896"
Procter & Gamble Hygiene and Health Care Ltd,PGHH,"FMCG - Personal Products","42036.65312"
KEI Industries Ltd,KEI,"Cables","41752.6038603"
GlaxoSmithKline Pharmaceuticals Ltd,GLAXO,"Pharmaceuticals","41746.72895862"
Supreme Industries Ltd,SUPREMEIND,"Plastic Products","41577.1648197"
ITC Hotels Ltd,ITCHOTELS,"Hotels, Resorts & Cruise Lines","41342.560868212"
Embassy Office Parks REIT,EMBASSY,"Real Estate","40742.368861626004"
Escorts Kubota Ltd,ESCORTS,"Tractors","40688.34340095"
Page Industries Ltd,PAGEIND,"Apparel & Accessories","40678.178478"
Dalmia Bharat Ltd,DALBHARAT,"Cement","40525.49980518"
Gujarat Fluorochemicals Ltd,FLUOROCHEM,"Specialty Chemicals","39850.2845"
Container Corporation of India Ltd,CONCOR,"Logistics","39626.98115805"
Indian Renewable Energy Development Agency Ltd,IREDA,"Specialized Finance","39607.351647532"
Premier Energies Ltd,PREMIERENE,"Renewable Energy","39387.1637944"
3M India Ltd,3MINDIA,"Stationery","38948.979525"
Poonawalla Fincorp Ltd,POONAWALLA,"Consumer Finance","38200.6203557"
Narayana Hrudayalaya Ltd,NH,"Hospitals & Diagnostic Centres","37766.41431825"
Physicswallah Ltd,PWL,"Education Services","37685.027765"
Astral Ltd,ASTRAL,"Building Products - Pipes","37342.372657"
Jubilant Foodworks Ltd,JUBLFOOD,"Restaurants & Cafes","36806.68810584"
Anthem Biosciences Ltd,ANTHEM,"Biotechnology","36726.489285145"
IPCA Laboratories Ltd,IPCALAB,"Pharmaceuticals","36528.33330764"
Blue Star Ltd,BLUESTARCO,"Home Electronics & Appliances","36263.98270532"
AIA Engineering Ltd,AIAENG,"Industrial Machinery","36248.4313191"
UCO Bank,UCOBANK,"Public Banks","35900.757356877"
Endurance Technologies Ltd,ENDURANCE,"Auto Parts","35866.21298304"
Tata Investment Corporation Ltd,TATAINVEST,"Asset Management","35786.0528608"
Cholamandalam Financial Holdings Ltd,CHOLAHLDNG,"Diversified Financials","34896.56353808"
NLC India Ltd,NLCINDIA,"Metals - Diversified","34656.208768737"
Apar Industries Ltd,APARINDS,"Electrical Components & Equipments","34645.1716875"
Thermax Limited,THERMAX,"Industrial Machinery","33933.95187812"
Godrej Industries Ltd,GODREJIND,"Diversified Chemicals","33889.303202040006"
